module	field	assignment_line	file	interpretation
Model.ConfigModel	m_bubbleTimeConfig	981	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bubbleTimeConfig	982	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bubbleTimeConfigMD5	987	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_boardExtraReward	1000	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bShowMergePromptAnim	1006	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bShowMergePromptAnim	1007	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bShowNewBuffContainer	1013	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bShowNewBuffContainer	1014	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bCurtainCallSign	1020	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bCurtainCallSign	1021	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bOrderGivePerformance	1027	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bOrderGivePerformance	1028	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_lastPboxUnlockTime	1034	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_lastPboxUnlockTime	1036	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_pboxUnlockTime	1038	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_pboxUnlockTime	1040	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bOrderDeliverButtonOpen	1047	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bOrderDeliverButtonOpen	1048	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bOrderDeliverPromptOpen	1054	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bOrderDeliverPromptOpen	1055	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bBoardPromptSunshineOpen	1064	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bBoardPromptFreepdOpen	1065	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bBoardPromptSunshineOpen	1069	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bBoardPromptFreepdOpen	1071	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bCDPropShowOpen	1094	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bCDPropShowOpen	1095	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bTempItemAssetOnOpen	1101	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bTempItemAssetOnOpen	1102	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bInteractLock	1108	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bInteractLock	1109	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.GameModel	m_iTestTimeDelta	6	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_iTestTimeDelta	8	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_asaaManager	12	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_iServerTime	22	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_iServerTimeDelta	24	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_iServerTime	25	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_lastServerTime	27	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_bLog	31	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_iServerTime	34	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_maxClientTime	36	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_deviceInfoUpdated	82	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_lastLocalTime	148	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_lastServerTime	149	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_iServerTimeDelta	150	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_iLocaleTimeDelta	159	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_iLocaleTimeDelta	169	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	isLoginingService	200	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_mapGroup2Status	208	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_groupName	216	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	loginFinishTime	231	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_validGroupName	259	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	isLoginingService	306	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_accountNotice	367	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_accountNotice	371	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_accountNotice	378	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_accountNotice	384	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_accountNotice	393	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_accountNotice	405	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_bTriggeringServer	424	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_bTriggerCallback	425	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_bTriggeringServer	427	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.GameModel	m_bServerCacheMode	445	code/Lua/decompiled/Model/GameModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_dbTable	20	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_skinTable	21	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_timeLimitSkinTable	22	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_unlockTime	23	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_percentage	24	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_slots	34	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_maxUnlock	35	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_buildingConfig	95	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_totalExp	101	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_ids	114	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_skinConfig	123	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_exSlot	124	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_remoteHillConfig	133	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_buildingExp	146	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_totalExp	171	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_strStoryMd5	187	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_unlockTime	190	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_maxUnlock	207	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_maxUnlockConfig	223	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_unlockedSlots	376	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_buildMap	377	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_inProgressSlots	378	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_bAllSlotBuildFinished	549	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_bAllSlotBuildFinished	555	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_bAllSlotBuildFinished	559	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_bCannotUseLaneOrder	567	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_bCannotUseLaneOrder	569	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_bCannotUseLaneOrder	573	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_bCannotUseLaneOrder	584	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_percentage	1189	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.MapDataModel	m_testUnlockAllTask	1291	code/Lua/decompiled/Model/MapDataModel.lua	assignment observed; dynamic field
Model.OpenFunctionModel	m_dbTable	18	code/Lua/decompiled/Model/OpenFunctionModel.lua	assignment observed; dynamic field
Model.OpenFunctionModel	m_mapFunctionConfig	23	code/Lua/decompiled/Model/OpenFunctionModel.lua	assignment observed; dynamic field
Model.OpenFunctionModel	m_mapFunctionConfigParam	24	code/Lua/decompiled/Model/OpenFunctionModel.lua	assignment observed; dynamic field
Model.OpenFunctionModel	m_uFunctionEnableLevel	84	code/Lua/decompiled/Model/OpenFunctionModel.lua	assignment observed; dynamic field
Model.SceneManager	m_eGameMode	18	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_timeSpending	23	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_loginDay	24	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	_enableLoggingWhenLoadingScene	28	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_bFromFeed	65	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_bFromFeed	73	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_eGameMode	117	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_bPauseTS	144	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_bPauseTS	149	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_tick	153	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_loginDay	160	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_timeSpending	162	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_timeSpending	164	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_tick	172	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_privacyTick	174	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_privacyDuration	183	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_privacyTick	184	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_tick	194	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_privacyDuration	195	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_downloadSize	196	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_downloadSize	200	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_privacyTick	204	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_privacyDuration	208	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SceneManager	m_privacyTick	209	code/Lua/decompiled/Model/SceneManager.lua	assignment observed; dynamic field
Model.SystemConfigModel	m_systemConfig	62	code/Lua/decompiled/Model/SystemConfigModel.lua	assignment observed; dynamic field
Model.SystemConfigModel	m_systemConfig	81	code/Lua/decompiled/Model/SystemConfigModel.lua	assignment observed; dynamic field
TempItemActivity.TempItemModel	m_tempItemRuleConfig	27	code/Lua/decompiled/TempItemActivity/TempItemModel.lua	assignment observed; dynamic field
TempItemActivity.TempItemModel	m_tempItemDuration	28	code/Lua/decompiled/TempItemActivity/TempItemModel.lua	assignment observed; dynamic field
TempItemActivity.TempItemModel	m_mapTempItemRuleConfig	33	code/Lua/decompiled/TempItemActivity/TempItemModel.lua	assignment observed; dynamic field
TempItemActivity.TempItemModel	m_tempItemGeneralConfig	50	code/Lua/decompiled/TempItemActivity/TempItemModel.lua	assignment observed; dynamic field
TempItemActivity.TempItemModel	m_bNeedToTransformItems	64	code/Lua/decompiled/TempItemActivity/TempItemModel.lua	assignment observed; dynamic field
TempItemActivity.TempItemModel	m_bNeedToTransformItems	75	code/Lua/decompiled/TempItemActivity/TempItemModel.lua	assignment observed; dynamic field
TempItemActivity.TempItemModel	m_bNeedToTransformItems	90	code/Lua/decompiled/TempItemActivity/TempItemModel.lua	assignment observed; dynamic field
BalloonRewardItem.Model.BalloonRewardModel	m_dbTable	6	code/Lua/decompiled/BalloonRewardItem/Model/BalloonRewardModel.lua	assignment observed; dynamic field
BalloonRewardItem.Model.BalloonRewardModel	m_idGenerator	7	code/Lua/decompiled/BalloonRewardItem/Model/BalloonRewardModel.lua	assignment observed; dynamic field
BalloonRewardItem.Model.BalloonRewardModel	m_rewardItemList	11	code/Lua/decompiled/BalloonRewardItem/Model/BalloonRewardModel.lua	assignment observed; dynamic field
BalloonRewardItem.Model.BalloonRewardModel	m_mapBalloons	15	code/Lua/decompiled/BalloonRewardItem/Model/BalloonRewardModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_oldDB	12	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_unlockDB	13	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_cacheState	14	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_bSyncDataFinished	23	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_modelConfigs	40	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_originItemConfig	41	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_chainIdMaxLevelMap	83	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_chainIdProtectLevelMap	84	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_chainIdGeneratorMap	85	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_inOrderMap	86	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_itemGeneratorMap	87	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_itemProductionMap	88	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_pdItemMap	89	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_maxLevelItemMap	90	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_sourceItemList	91	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_costItemList	92	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_arrSortedGeneratorChains	196	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_mainGeneratorCount	197	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_mainGeneratorCount	199	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_discoveriesMap	462	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_discoveriesTabIcon	506	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_maxChainNumInTab	511	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_maxChainNumInTab	513	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.Model.ItemDataModel	m_bSyncDataFinished	619	code/Lua/decompiled/Board/Model/ItemDataModel.lua	assignment observed; dynamic field
Board.View.BaseActionBoardView	m_selectedBoardPosition	10	code/Lua/decompiled/Board/View/BaseActionBoardView.lua	assignment observed; dynamic field
Board.View.BaseActionBoardView	m_itemCollectableTipItem	24	code/Lua/decompiled/Board/View/BaseActionBoardView.lua	assignment observed; dynamic field
Board.View.BaseActionBoardView	m_itemCollectableTipItem	29	code/Lua/decompiled/Board/View/BaseActionBoardView.lua	assignment observed; dynamic field
Board.View.BaseActionBoardView	m_itemCollectableTipItem	32	code/Lua/decompiled/Board/View/BaseActionBoardView.lua	assignment observed; dynamic field
Board.View.BaseActionBoardView	m_cachedItemCollectableTip	62	code/Lua/decompiled/Board/View/BaseActionBoardView.lua	assignment observed; dynamic field
Board.View.BaseActionBoardView	m_cachedItemCollectableTip	78	code/Lua/decompiled/Board/View/BaseActionBoardView.lua	assignment observed; dynamic field
Board.View.BaseActionBoardView	m_cachedItemCollectableTip	80	code/Lua/decompiled/Board/View/BaseActionBoardView.lua	assignment observed; dynamic field
Board.View.BaseActionBoardView	m_cachedItemCollectableTip	90	code/Lua/decompiled/Board/View/BaseActionBoardView.lua	assignment observed; dynamic field
Board.View.BaseBoardView	m_model	16	code/Lua/decompiled/Board/View/BaseBoardView.lua	assignment observed; dynamic field
Board.View.BaseBoardView	m_tileMap	17	code/Lua/decompiled/Board/View/BaseBoardView.lua	assignment observed; dynamic field
Board.View.BaseBoardView	m_modelViewMap	18	code/Lua/decompiled/Board/View/BaseBoardView.lua	assignment observed; dynamic field
Board.View.BaseBoardView	m_lastMergeLightItem	148	code/Lua/decompiled/Board/View/BaseBoardView.lua	assignment observed; dynamic field
Board.View.BaseBoardView	m_lastMergeLightItem	156	code/Lua/decompiled/Board/View/BaseBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_disabledPosList	20	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_shopModel	26	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_camera	27	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_blinkingItems	30	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_profiling	31	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_storeItemSeqCount	32	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_initialized	74	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_adjustedInfoBarPosition	116	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_hasCollapsedPaperBox	214	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_inventoryButton	262	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_inventoryButton	264	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_lastTouchedItem	286	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_lastTouchedItem	287	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_onInventory	292	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_lastMergeLightItem	319	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_lastMergableItem	320	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_lastMergableItemTime	321	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_selectedBoardPosition	360	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_lastTouchedItem	452	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_lastTouchedItem	453	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_storeItemSeqCount	497	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_storeItemSeqCount	514	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
Board.View.BaseSceneBoardView	m_storeItemSeqCount	547	code/Lua/decompiled/Board/View/BaseSceneBoardView.lua	assignment observed; dynamic field
