caller_rva,caller_type,caller_signature,caller_native_file,ghidra_call_target,callee_rva,callee_name_candidates,callee_alias_count,callee_selected_type,callee_selected_signature,callee_native_status,call_occurrences_in_pseudocode
0x32365F0,SummerWatermelonModel,private void AddIllustrated(bool isMainLine) { },code/Ghidra_native_pseudocode/32365f0.c,0x2BE17E0,0x2BD17E0,MergeManager$$AddUnlockMergeItem,1,MergeManager,public void AddUnlockMergeItem(int id) { },decompiled_rebased_without_autoanalysis,1
0x32370E4,SummerWatermelonModel,public void DebugSetBuyTime() { },code/Ghidra_native_pseudocode/32370e4.c,0x26CF730,0x26BF730,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_RefreshNextTime,1,StorageSummerWatermelonFifteen,public void set_RefreshNextTime(long value) { },decompiled_rebased_without_autoanalysis,1
0x3237344,SummerWatermelonModel,public void DebugSetEndTime() { },code/Ghidra_native_pseudocode/3237344.c,0x26CEE00,0x26BEE00,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_ActivityEndTime,1,StorageSummerWatermelonFifteen,public void set_ActivityEndTime(long value) { },decompiled_rebased_without_autoanalysis,1
0x32373E8,SummerWatermelonModel,public void DebugSetStartTime() { },code/Ghidra_native_pseudocode/32373e8.c,0x26CED30,0x26BED30,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_StartActivityTime,1,StorageSummerWatermelonFifteen,public void set_StartActivityTime(long value) { },decompiled_rebased_without_autoanalysis,1
0x3237520,SummerWatermelonModel,public void DebugSetSummerWatermelonTenBP() { },code/Ghidra_native_pseudocode/3237520.c,0x298FD74,0x297FD74,BaseEvent$$.ctor,1,BaseEvent,"public void .ctor(string type, object[] datas) { }",decompiled_rebased_without_autoanalysis,1
0x3237520,SummerWatermelonModel,public void DebugSetSummerWatermelonTenBP() { },code/Ghidra_native_pseudocode/3237520.c,0x32477E4,0x32377E4,Activity.SummerWatermelon_34.SummerWatermelonModel$$UpdateBattlePassRedPoint,1,SummerWatermelonModel,public void UpdateBattlePassRedPoint() { },decompiled_rebased_without_autoanalysis,1
0x3237E04,SummerWatermelonModel,"public bool IsGetReward(int id, bool isNormal) { }",code/Ghidra_native_pseudocode/3237e04.c,0x3247ED4,0x3237ED4,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetStorageReward,1,SummerWatermelonModel,private StorageSummerWatermelonFifteenBattlePassReward GetStorageReward(int id) { },decompiled_rebased_without_autoanalysis,1
0x3238440,SummerWatermelonModel,public string GetBpPrice() { },code/Ghidra_native_pseudocode/3238440.c,0x3248530,0x3238530,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetBPShopId,1,SummerWatermelonModel,public int GetBPShopId() { },decompiled_rebased_without_autoanalysis,1
0x3238944,SummerWatermelonModel,public BattlePassThirtyFour GetFrontRewardConfig(int score = -1) { },code/Ghidra_native_pseudocode/3238944.c,0x3248BC4,0x3238BC4,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetCurrentScore,1,SummerWatermelonModel,private int GetCurrentScore() { },decompiled_rebased_without_autoanalysis,1
0x3238944,SummerWatermelonModel,public BattlePassThirtyFour GetFrontRewardConfig(int score = -1) { },code/Ghidra_native_pseudocode/3238944.c,0x3248C80,0x3238C80,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetRewardConfig,1,SummerWatermelonModel,"public BattlePassThirtyFour GetRewardConfig(int score, out bool isEnd) { }",decompiled_rebased_without_autoanalysis,1
0x3238F88,SummerWatermelonModel,private void RefreshNexTime(ulong endTime) { },code/Ghidra_native_pseudocode/3238f88.c,0x26CF2B0,0x26BF2B0,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_GiftBuyNum,1,StorageSummerWatermelonFifteen,public void set_GiftBuyNum(int value) { },decompiled_rebased_without_autoanalysis,1
0x3238F88,SummerWatermelonModel,private void RefreshNexTime(ulong endTime) { },code/Ghidra_native_pseudocode/3238f88.c,0x26CF36C,0x26BF36C,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_OneByOneIndex,1,StorageSummerWatermelonFifteen,public void set_OneByOneIndex(int value) { },decompiled_rebased_without_autoanalysis,1
0x3238F88,SummerWatermelonModel,private void RefreshNexTime(ulong endTime) { },code/Ghidra_native_pseudocode/3238f88.c,0x26CF730,0x26BF730,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_RefreshNextTime,1,StorageSummerWatermelonFifteen,public void set_RefreshNextTime(long value) { },decompiled_rebased_without_autoanalysis,1
0x3239398,SummerWatermelonModel,public bool IsPackageOpened(SummerWatermelonThirtyFourPackageConfig config) { },code/Ghidra_native_pseudocode/3239398.c,0x2E61F28,0x2E51F28,Gameplay.UserData$$GetRes,1,UserData,public int GetRes(UserData.ResourceId resourceId) { },decompiled_rebased_without_autoanalysis,1
0x32396D8,SummerWatermelonModel,public void DebugSetGiftTime() { },code/Ghidra_native_pseudocode/32396d8.c,0x26CED30,0x26BED30,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_StartActivityTime,1,StorageSummerWatermelonFifteen,public void set_StartActivityTime(long value) { },decompiled_rebased_without_autoanalysis,1
0x32399CC,SummerWatermelonModel,public ulong GetNewPackageLeftTime() { },code/Ghidra_native_pseudocode/32399cc.c,0x3249C74,0x3239C74,Activity.SummerWatermelon_34.SummerWatermelonModel$$RefreshNewGift,1,SummerWatermelonModel,private void RefreshNewGift(ulong endTime) { },decompiled_rebased_without_autoanalysis,1
0x323A0B8,SummerWatermelonModel,public bool IsSummerWatermelonItemId(int itemId) { },code/Ghidra_native_pseudocode/323a0b8.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x323A720,SummerWatermelonModel,public void AddNewGiftsRewards(SummerWatermelonThirtyFourPackageFourReward _reward) { },code/Ghidra_native_pseudocode/323a720.c,0x2E64460,0x2E54460,Gameplay.UserData$$AddRes,1,UserData,"public void AddRes(int id, int count, GameBIManager.ItemChangeReasonArgs reason, bool isEvent = True, ShowRewardType rewardType = 0, bool isIgnore = False) { }",decompiled_rebased_without_autoanalysis,1
0x323A720,SummerWatermelonModel,public void AddNewGiftsRewards(SummerWatermelonThirtyFourPackageFourReward _reward) { },code/Ghidra_native_pseudocode/323a720.c,0x2E651CC,0x2E551CC,Gameplay.UserData$$IsResource,1,UserData,public bool IsResource(int resourceId) { },decompiled_rebased_without_autoanalysis,1
0x323AE08,SummerWatermelonModel,public void PurchasePackageSuccess(TableShop shopConfig) { },code/Ghidra_native_pseudocode/323ae08.c,0x2E64460,0x2E54460,Gameplay.UserData$$AddRes,1,UserData,"public void AddRes(int id, int count, GameBIManager.ItemChangeReasonArgs reason, bool isEvent = True, ShowRewardType rewardType = 0, bool isIgnore = False) { }",decompiled_rebased_without_autoanalysis,2
0x323AE08,SummerWatermelonModel,public void PurchasePackageSuccess(TableShop shopConfig) { },code/Ghidra_native_pseudocode/323ae08.c,0x2E651CC,0x2E551CC,Gameplay.UserData$$IsResource,1,UserData,public bool IsResource(int resourceId) { },decompiled_rebased_without_autoanalysis,2
0x323D358,SummerWatermelonModel,private void <SwitchBoard>b__95_0() { },code/Ghidra_native_pseudocode/323d358.c,0x2BB3638,0x2BA3638,MergeManager$$Refresh,1,MergeManager,public void Refresh(MergeBoardEnum boardId) { },decompiled_rebased_without_autoanalysis,1
