source_file,namespace,type,typedef_index,declaration_with_inheritance_and_interfaces,dumper_block
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c.<<UseMergeItem>b__87_0>d,4738,private struct SummerWatermelonModel.<>c.<<UseMergeItem>b__87_0>d : IAsyncStateMachine // TypeDefIndex: 4738,code/Il2CppDumper_type_signatures/04738.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,4739,private sealed class SummerWatermelonModel.<>c // TypeDefIndex: 4739,code/Il2CppDumper_type_signatures/04739.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass120_0,4740,private sealed class SummerWatermelonModel.<>c__DisplayClass120_0 // TypeDefIndex: 4740,code/Il2CppDumper_type_signatures/04740.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass121_0,4741,private sealed class SummerWatermelonModel.<>c__DisplayClass121_0 // TypeDefIndex: 4741,code/Il2CppDumper_type_signatures/04741.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass121_1,4742,private sealed class SummerWatermelonModel.<>c__DisplayClass121_1 // TypeDefIndex: 4742,code/Il2CppDumper_type_signatures/04742.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass122_0,4743,private sealed class SummerWatermelonModel.<>c__DisplayClass122_0 // TypeDefIndex: 4743,code/Il2CppDumper_type_signatures/04743.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass42_0,4744,private sealed class SummerWatermelonModel.<>c__DisplayClass42_0 // TypeDefIndex: 4744,code/Il2CppDumper_type_signatures/04744.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass75_0,4745,private sealed class SummerWatermelonModel.<>c__DisplayClass75_0 // TypeDefIndex: 4745,code/Il2CppDumper_type_signatures/04745.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass88_0,4746,private sealed class SummerWatermelonModel.<>c__DisplayClass88_0 // TypeDefIndex: 4746,code/Il2CppDumper_type_signatures/04746.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass88_1,4747,private sealed class SummerWatermelonModel.<>c__DisplayClass88_1 // TypeDefIndex: 4747,code/Il2CppDumper_type_signatures/04747.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass89_0,4748,private sealed class SummerWatermelonModel.<>c__DisplayClass89_0 // TypeDefIndex: 4748,code/Il2CppDumper_type_signatures/04748.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass93_0,4749,private sealed class SummerWatermelonModel.<>c__DisplayClass93_0 // TypeDefIndex: 4749,code/Il2CppDumper_type_signatures/04749.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass94_0,4750,private sealed class SummerWatermelonModel.<>c__DisplayClass94_0 // TypeDefIndex: 4750,code/Il2CppDumper_type_signatures/04750.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass94_1,4751,private sealed class SummerWatermelonModel.<>c__DisplayClass94_1 // TypeDefIndex: 4751,code/Il2CppDumper_type_signatures/04751.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass94_2,4752,private sealed class SummerWatermelonModel.<>c__DisplayClass94_2 // TypeDefIndex: 4752,code/Il2CppDumper_type_signatures/04752.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__74,4753,private struct SummerWatermelonModel.<OnNewItem>d__74 : IAsyncStateMachine // TypeDefIndex: 4753,code/Il2CppDumper_type_signatures/04753.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<UseMergeItem>d__87,4754,private struct SummerWatermelonModel.<UseMergeItem>d__87 : IAsyncStateMachine // TypeDefIndex: 4754,code/Il2CppDumper_type_signatures/04754.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_6/SummerWatermelonModel.cs,Activity.SummerWatermelon_6,SummerWatermelonModel,4755,public class SummerWatermelonModel : ActivityEntityBase // TypeDefIndex: 4755,code/Il2CppDumper_type_signatures/04755.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_17/SummerWatermelonMergeBoard1.cs,Activity.SummerWatermelon_17,SummerWatermelonMergeBoard1,4796,public class SummerWatermelonMergeBoard1 : MergeBoard // TypeDefIndex: 4796,code/Il2CppDumper_type_signatures/04796.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_17/SummerWatermelonMergeBoard2.cs,Activity.SummerWatermelon_17,SummerWatermelonMergeBoard2,4797,public class SummerWatermelonMergeBoard2 : MergeBoard // TypeDefIndex: 4797,code/Il2CppDumper_type_signatures/04797.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_17/SummerWatermelonMergeBoard3.cs,Activity.SummerWatermelon_17,SummerWatermelonMergeBoard3,4798,public class SummerWatermelonMergeBoard3 : MergeBoard // TypeDefIndex: 4798,code/Il2CppDumper_type_signatures/04798.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_17/SummerWatermelonMergeBoard4.cs,Activity.SummerWatermelon_17,SummerWatermelonMergeBoard4,4799,public class SummerWatermelonMergeBoard4 : MergeBoard // TypeDefIndex: 4799,code/Il2CppDumper_type_signatures/04799.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,4800,private sealed class SummerWatermelonModel.<>c // TypeDefIndex: 4800,code/Il2CppDumper_type_signatures/04800.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass141_0,4801,private sealed class SummerWatermelonModel.<>c__DisplayClass141_0 // TypeDefIndex: 4801,code/Il2CppDumper_type_signatures/04801.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass167_0,4802,private sealed class SummerWatermelonModel.<>c__DisplayClass167_0 // TypeDefIndex: 4802,code/Il2CppDumper_type_signatures/04802.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass167_1,4803,private sealed class SummerWatermelonModel.<>c__DisplayClass167_1 // TypeDefIndex: 4803,code/Il2CppDumper_type_signatures/04803.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass168_0,4804,private sealed class SummerWatermelonModel.<>c__DisplayClass168_0 // TypeDefIndex: 4804,code/Il2CppDumper_type_signatures/04804.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_0,4805,private sealed class SummerWatermelonModel.<>c__DisplayClass52_0 // TypeDefIndex: 4805,code/Il2CppDumper_type_signatures/04805.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_1,4806,private sealed class SummerWatermelonModel.<>c__DisplayClass52_1 // TypeDefIndex: 4806,code/Il2CppDumper_type_signatures/04806.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass56_0,4807,private sealed class SummerWatermelonModel.<>c__DisplayClass56_0 // TypeDefIndex: 4807,code/Il2CppDumper_type_signatures/04807.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass98_0,4808,private sealed class SummerWatermelonModel.<>c__DisplayClass98_0 // TypeDefIndex: 4808,code/Il2CppDumper_type_signatures/04808.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass99_0,4809,private sealed class SummerWatermelonModel.<>c__DisplayClass99_0 // TypeDefIndex: 4809,code/Il2CppDumper_type_signatures/04809.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,4810,private struct SummerWatermelonModel.<OnNewItem>d__98 : IAsyncStateMachine // TypeDefIndex: 4810,code/Il2CppDumper_type_signatures/04810.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_17/SummerWatermelonModel.cs,Activity.SummerWatermelon_17,SummerWatermelonModel,4811,public class SummerWatermelonModel : ActivityEntityBase // TypeDefIndex: 4811,code/Il2CppDumper_type_signatures/04811.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_7/SummerWatermelonMergeBoard.cs,Activity.SummerWatermelon_7,SummerWatermelonMergeBoard,4865,public class SummerWatermelonMergeBoard : MergeBoard // TypeDefIndex: 4865,code/Il2CppDumper_type_signatures/04865.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_7/SummerWatermelonMergeBoard_Big.cs,Activity.SummerWatermelon_7,SummerWatermelonMergeBoard_Big,4866,public class SummerWatermelonMergeBoard_Big : MergeBoard // TypeDefIndex: 4866,code/Il2CppDumper_type_signatures/04866.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,4867,private sealed class SummerWatermelonModel.<>c // TypeDefIndex: 4867,code/Il2CppDumper_type_signatures/04867.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass124_0,4868,private sealed class SummerWatermelonModel.<>c__DisplayClass124_0 // TypeDefIndex: 4868,code/Il2CppDumper_type_signatures/04868.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass124_1,4869,private sealed class SummerWatermelonModel.<>c__DisplayClass124_1 // TypeDefIndex: 4869,code/Il2CppDumper_type_signatures/04869.txt
