source_file,namespace,type,typedef_index,field_declaration_and_offset
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__96,5304,public RefreshItemSource source; // 0x1C
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__96,5304,private SummerWatermelonModel.<>c__DisplayClass96_0 <>8__1; // 0x20
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__96,5304,private TaskAwaiter <>u__1; // 0x24
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__96,5304,private TaskAwaiter<bool> <>u__2; // 0x28
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_14/SummerWatermelonModel.cs,Activity.SummerWatermelon_14,SummerWatermelonModel,5305,public static bool InGuideChain; // 0x0
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_14/SummerWatermelonModel.cs,Activity.SummerWatermelon_14,SummerWatermelonModel,5305,public const int BOARD_WIDTH = 5;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_14/SummerWatermelonModel.cs,Activity.SummerWatermelon_14,SummerWatermelonModel,5305,public const int BOARD_HEIGHT = 5;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_14/SummerWatermelonModel.cs,Activity.SummerWatermelon_14,SummerWatermelonModel,5305,public const int BOARD_WIDTH_BIG = 6;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_14/SummerWatermelonModel.cs,Activity.SummerWatermelon_14,SummerWatermelonModel,5305,public const int BOARD_HEIGHT_BIG = 8;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_14/SummerWatermelonModel.cs,Activity.SummerWatermelon_14,SummerWatermelonModel,5305,private static SummerWatermelonModel _instance; // 0x4
