assembly,type_file,source_file,line,namespace,kind,name,declaration,role
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnInfo.cs,20,Code.GameLogic.ExtraSpawns,class,ExtraSpawnInfo,"public class ExtraSpawnInfo : IGameConfigData<string>, IGameConfigData, IHasGameConfigKey<string>",玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnItemValueInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnItemValueInfo.cs,12,Code.GameLogic.ExtraSpawns,class,ExtraSpawnItemValueInfo,"public class ExtraSpawnItemValueInfo : IGameConfigData<int>, IGameConfigData, IHasGameConfigKey<int>, IValidatable",玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnSource.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnSource.cs,11,Code.GameLogic.ExtraSpawns,class,ExtraSpawnSource,"public class ExtraSpawnSource : IConfigItemSource<ExtraSpawnInfo, string>, IGameConfigSourceItem<string, ExtraSpawnInfo>, IHasGameConfigKey<string>",玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnTriggerType.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnTriggerType.cs,7,Code.GameLogic.ExtraSpawns,enum,ExtraSpawnTriggerType,public enum ExtraSpawnTriggerType,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnValueConstants.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnValueConstants.cs,3,Code.GameLogic.ExtraSpawns,class,ExtraSpawnValueConstants,public static class ExtraSpawnValueConstants,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnValueSource.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnValueSource.cs,9,Code.GameLogic.ExtraSpawns,class,ExtraSpawnValueSource,public class ExtraSpawnValueSource : IHasGameConfigKey<string>,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnValueType.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnValueType.cs,7,Code.GameLogic.ExtraSpawns,enum,ExtraSpawnValueType,public enum ExtraSpawnValueType,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnValueUtilities.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnValueUtilities.cs,7,Code.GameLogic.ExtraSpawns,class,ExtraSpawnValueUtilities,public static class ExtraSpawnValueUtilities,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnValuesValidator.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnValuesValidator.cs,7,Code.GameLogic.ExtraSpawns,class,ExtraSpawnValuesValidator,public class ExtraSpawnValuesValidator : IValidatable,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/IExtraSpawnFormula.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/IExtraSpawnFormula.cs,9,Code.GameLogic.ExtraSpawns,interface,IExtraSpawnFormula,public interface IExtraSpawnFormula,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/IExtraSpawnTrigger.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/IExtraSpawnTrigger.cs,10,Code.GameLogic.ExtraSpawns,interface,IExtraSpawnTrigger,public interface IExtraSpawnTrigger,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ItemLevelFormula.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ItemLevelFormula.cs,10,Code.GameLogic.ExtraSpawns,class,ItemLevelFormula,public class ItemLevelFormula : IExtraSpawnFormula,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ItemValueFormula.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ItemValueFormula.cs,10,Code.GameLogic.ExtraSpawns,class,ItemValueFormula,public class ItemValueFormula : IExtraSpawnFormula,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/MergeTrigger.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/MergeTrigger.cs,8,Code.GameLogic.ExtraSpawns,class,MergeTrigger,public class MergeTrigger : IExtraSpawnTrigger,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ProduceItemTrigger.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ProduceItemTrigger.cs,8,Code.GameLogic.ExtraSpawns,class,ProduceItemTrigger,public class ProduceItemTrigger : IExtraSpawnTrigger,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/PurchaseBubbleTrigger.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/PurchaseBubbleTrigger.cs,8,Code.GameLogic.ExtraSpawns,class,PurchaseBubbleTrigger,public class PurchaseBubbleTrigger : IExtraSpawnTrigger,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/AutoMergeMinigameModel.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/AutoMergeMinigameModel.cs,10,Code.GameLogic.GameEvents,class,AutoMergeMinigameModel,public class AutoMergeMinigameModel : ICoreSupportEventMinigameModel,活动棋盘与扩展玩法
