typedef_index,image,namespace,type_name,declaration,selection_reason,generated_csharp_file,metadata_block_file,arm64_file,method_count,native_rva_count,ghidra_method_count,generic_native_instantiation_count,generated_csharp_sha256,bounded_method_count
118,TravelTown.Main.dll,MergeEngine.Util,WeightedItem<T>,public class WeightedItem<T>,棋盘数据与工具,generated_csharp/TravelTown.Main/MergeEngine/Util/WeightedItem.cs,metadata_blocks/TravelTown.Main/TypeDef_000118.txt,native_arm64/TravelTown.Main/000118_WeightedItem_T_.s,4,0,0,16,4044ee722faf0c691601874f766038f512d90ed89b94a2f3e07fa25996307e44,0
119,TravelTown.Main.dll,,WeightedItemList.<>c<TItem>,private sealed class WeightedItemList.<>c<TItem>,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/WeightedItemList.cs,metadata_blocks/TravelTown.Main/TypeDef_000119.txt,native_arm64/TravelTown.Main/000119_WeightedItemList_c_TItem_.s,3,0,0,12,7105e87289f302dfa9796fd4fa9ee242a4f931275806e85ca8e1bbe3d8976d35,0
120,TravelTown.Main.dll,,WeightedItemList.<>c__DisplayClass8_0<TItem>,private sealed class WeightedItemList.<>c__DisplayClass8_0<TItem>,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/WeightedItemList.cs,metadata_blocks/TravelTown.Main/TypeDef_000120.txt,native_arm64/TravelTown.Main/000120_WeightedItemList_c__DisplayClass8_0_TItem_.s,2,0,0,8,7105e87289f302dfa9796fd4fa9ee242a4f931275806e85ca8e1bbe3d8976d35,0
121,TravelTown.Main.dll,MergeEngine.Util,WeightedItemList<TItem>,public class WeightedItemList<TItem>,棋盘数据与工具,generated_csharp/TravelTown.Main/MergeEngine/Util/WeightedItemList.cs,metadata_blocks/TravelTown.Main/TypeDef_000121.txt,native_arm64/TravelTown.Main/000121_WeightedItemList_TItem_.s,7,0,0,28,7105e87289f302dfa9796fd4fa9ee242a4f931275806e85ca8e1bbe3d8976d35,0
122,TravelTown.Main.dll,,"WeightedItemUtil.<>c__DisplayClass0_0<TItemData,","private sealed class WeightedItemUtil.<>c__DisplayClass0_0<TItemData, TItem>",同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/WeightedItemUtil.cs,metadata_blocks/TravelTown.Main/TypeDef_000122.txt,,2,0,0,0,610a7bbe457ee66073f4d4ef5e0073cf284fa9f95a2db594080efb034aa5e820,0
123,TravelTown.Main.dll,MergeEngine.Util,WeightedItemUtil,public static class WeightedItemUtil,棋盘数据与工具,generated_csharp/TravelTown.Main/MergeEngine/Util/WeightedItemUtil.cs,metadata_blocks/TravelTown.Main/TypeDef_000123.txt,native_arm64/TravelTown.Main/000123_WeightedItemUtil.s,1,0,0,4,610a7bbe457ee66073f4d4ef5e0073cf284fa9f95a2db594080efb034aa5e820,0
215,TravelTown.Main.dll,MergeEngine.Signal.Items,InventoryStateUpdatedSignal,public class InventoryStateUpdatedSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/InventoryStateUpdatedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000215.txt,native_arm64/TravelTown.Main/000215_InventoryStateUpdatedSignal.s,1,1,0,0,ef906ed82bdf90905458fa4d83701cdb2ed5f2952436c3cfd5daa8d1477a07ba,0
218,TravelTown.Main.dll,MergeEngine.Signal.Items,FailedToRemoveItemFromInventorySignal,public class FailedToRemoveItemFromInventorySignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/FailedToRemoveItemFromInventorySignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000218.txt,native_arm64/TravelTown.Main/000218_FailedToRemoveItemFromInventorySignal.s,4,4,0,0,cfb56f7004298d8f49c76021ec9a8a47ac94422012f4d8f7eed50397128e7413,0
219,TravelTown.Main.dll,MergeEngine.Signal.Items,ImmediateToolsCollectedSignal,public class ImmediateToolsCollectedSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ImmediateToolsCollectedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000219.txt,native_arm64/TravelTown.Main/000219_ImmediateToolsCollectedSignal.s,3,3,0,0,1d6ef5fe423ab8b6051dfaa938c49b65a9711b1c521f663cb043fd1516bf54b5,0
220,TravelTown.Main.dll,MergeEngine.Signal.Items,InteractionTrackingSignal,public class InteractionTrackingSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/InteractionTrackingSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000220.txt,native_arm64/TravelTown.Main/000220_InteractionTrackingSignal.s,2,2,0,0,b8f4e231bdcb88ae3c2939102a9c1e55314c7538c197809d569a4c1de69662d1,0
