caller_rva,caller_type_indices,callee_rva,callee_type_index,callee_namespace,callee_type,callee_signature,callee_selected
0x6696A1C,8587,0x6696B2C,8587,Merger.Game.Views,BoardView,"public bool MoveItemToTopContainer(BoardItemPosition itemAtPosition, bool overrideSorting, bool setSecondLastSiblingIndex = False) { }",True
0x6696B2C,8587,0x6695670,8587,Merger.Game.Views,BoardView,private IBoardItemView GetItemView(BoardItemPosition itemAtPosition) { },True
0x6696DD4,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x6696DD4,8587,0x6695670,8587,Merger.Game.Views,BoardView,private IBoardItemView GetItemView(BoardItemPosition itemAtPosition) { },True
0x669715C,8587,0x66969C4,8587,Merger.Game.Views,BoardView,public IBoardItemView GetItemAtPosition(BoardItemPosition position) { },True
0x669715C,8587,0x66971C4,8587,Merger.Game.Views,BoardView,"public void SlideItem(BoardItemPosition itemAtPosition, BoardItemPosition toPosition, float tweenDuration, Ease ease = 7) { }",True
0x669715C,8587,0x6697430,8587,Merger.Game.Views,BoardView,"private void SetItem(BoardItemPosition position, IBoardItemView boardItemView) { }",True
0x66971C4,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x66971C4,8587,0x6697934,8587,Merger.Game.Views,BoardView,private Vector2 GetBoardCellPositionInBoardContainer(RectTransform boardCell) { },True
0x66971C4,8587,0x6697994,8587,Merger.Game.Views,BoardView,"private IBoardItemView PrepareItemToSlide(BoardItemPosition position, RectTransform container) { }",True
0x66971C4,8587,0x6697BB0,8587,Merger.Game.Views,BoardView,"public TweenerCore<Vector2, Vector2, VectorOptions> SlideGameObject(RectTransform objectToSlide, Vector2 pointToRoot, float tweenDuration, Ease ease = 7) { }",True
0x6697430,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x6697430,8587,0x465450C,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$SetItem,True
0x66975D0,8587,0x66969C4,8587,Merger.Game.Views,BoardView,public IBoardItemView GetItemAtPosition(BoardItemPosition position) { },True
0x66975D0,8587,0x66971C4,8587,Merger.Game.Views,BoardView,"public void SlideItem(BoardItemPosition itemAtPosition, BoardItemPosition toPosition, float tweenDuration, Ease ease = 7) { }",True
0x66975D0,8587,0x6697430,8587,Merger.Game.Views,BoardView,"private void SetItem(BoardItemPosition position, IBoardItemView boardItemView) { }",True
0x669766C,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x669766C,8587,0x669785C,8587,Merger.Game.Views,BoardView,"private void Jump(IBoardItemView itemToSlide, float tweenDuration) { }",True
0x669766C,8587,0x6697934,8587,Merger.Game.Views,BoardView,private Vector2 GetBoardCellPositionInBoardContainer(RectTransform boardCell) { },True
0x669766C,8587,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6697994,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x6697C3C,8587,0x6697994,8587,Merger.Game.Views,BoardView,"private IBoardItemView PrepareItemToSlide(BoardItemPosition position, RectTransform container) { }",True
0x6697C3C,8587,0x6697BB0,8587,Merger.Game.Views,BoardView,"public TweenerCore<Vector2, Vector2, VectorOptions> SlideGameObject(RectTransform objectToSlide, Vector2 pointToRoot, float tweenDuration, Ease ease = 7) { }",True
0x6697E3C,8587,0x6697994,8587,Merger.Game.Views,BoardView,"private IBoardItemView PrepareItemToSlide(BoardItemPosition position, RectTransform container) { }",True
0x6697E3C,8587,0x6697BB0,8587,Merger.Game.Views,BoardView,"public TweenerCore<Vector2, Vector2, VectorOptions> SlideGameObject(RectTransform objectToSlide, Vector2 pointToRoot, float tweenDuration, Ease ease = 7) { }",True
0x66980A4,8587,0x3BC6BD4,10424,Framework.Core,Base,Framework.Core.Base$$FireSignal<object>,True
0x66980A4,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x66980A4,8587,0x601FC10,1591,GameCore.Configuration.Definitions,RewardAmount,public static RewardAmount op_Implicit(int amount) { },True
0x66980A4,8587,0x6698558,8587,Merger.Game.Views,BoardView,"public void BoardItemFlyInAnimationStarted(IBoardItemView itemToSlide, IRewardViewData rewardData) { }",True
0x66980A4,8587,0x6A29E04,1306,MergeEngine.Configuration.Definitions,ItemMultiple,"public void .ctor(string itemId, RewardAmount rewardAmount) { }",True
0x6698558,8587,0x66956C8,8587,Merger.Game.Views,BoardView,private void HideItem(IBoardItemView itemView) { },True
0x6698704,8587,0x6697994,8587,Merger.Game.Views,BoardView,"private IBoardItemView PrepareItemToSlide(BoardItemPosition position, RectTransform container) { }",True
0x6698704,8587,0x669894C,8587,Merger.Game.Views,BoardView,"public Sequence SlideBoosterObject(RectTransform objectToSlide, Vector2 pointToRoot, float tweenDuration, float jumpPower, Ease ease = 7) { }",True
0x6698A14,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x6698A14,8587,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6698B28,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x6698B28,8587,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6698BA4,8587,0x6692070,8587,Merger.Game.Views,BoardView,public void HideSelector() { },True
0x6698C64,8587,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x6698E90,8587,0x3BC6BD4,10424,Framework.Core,Base,Framework.Core.Base$$FireSignal<object>,True
0x6698E90,8587,0x662440C,8275,Merger.Game.ViewModel,BoardViewModel,public PowerBoostMultiModesConfig get_CurrentPowerBoostConfig() { },True
0x6699288,8587,0x6624AE8,8275,Merger.Game.ViewModel,BoardViewModel,public void TryStartTutorial() { },True
0x6699288,8587,0x6625ED4,8279,Merger.Game.ViewModel,GameBaseViewModel,public BindableProperty<bool> get_Started() { },True
0x669930C,8587,0x6624D98,8275,Merger.Game.ViewModel,BoardViewModel,public void ChangeGameStateToOther() { },True
0x6699BCC,8578,0x6690D34,8587,Merger.Game.Views,BoardView,private PrefabObjectPool GetSharedBoardItemPool() { },True
0x6699E8C,8579,0x3BC6BD4,10424,Framework.Core,Base,Framework.Core.Base$$FireSignal<object>,True
0x6699E8C,8579,0x676CAB4,9441,Merger.Game.Signal,SlideItemInCompletedSignal,public void .ctor(BoardItemPosition position) { },True
0x669A130,8580,0x6690D34,8587,Merger.Game.Views,BoardView,private PrefabObjectPool GetSharedBoardItemPool() { },True
0x669A240,8581,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x669A420,8582,0x46544B8,117,MergeEngine.Util,TwoDArray<T>,MergeEngine.Util.TwoDArray<object>$$GetItem,True
0x669A8DC,8585,0x669578C,8587,Merger.Game.Views,BoardView,private void ShowItem(IBoardItemView itemView) { },True
0x669AA70,8586,0x3BC6B28,10424,Framework.Core,Base,Framework.Core.Base$$FireSignal<object>,True
0x669AA70,8586,0x6625ED4,8279,Merger.Game.ViewModel,GameBaseViewModel,public BindableProperty<bool> get_Started() { },True
0x6707430,8930,0x671A290,9040,Merger.Game.Views.Components,MergeItemView,public virtual void set_MergeItem(IMergeItem value) { },True
0x6707618,8931,0x662AC88,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public int get_NumSlots() { },True
0x67076B0,8931,0x3BC70A8,10424,Framework.Core,Base,Framework.Core.Base$$SubscribeToSignal<object>,True
0x67076B0,8931,0x6707898,8931,Merger.Game.Views.Inventory,InventoryItemsView,private void ShowInventory() { },True
0x6707898,8931,0x6707A70,8931,Merger.Game.Views.Inventory,InventoryItemsView,private void ClearInventory() { },True
0x6707898,8931,0x6707EA0,8931,Merger.Game.Views.Inventory,InventoryItemsView,private void RepopulateInventory() { },True
0x67078B8,8931,0x3BC74C4,10424,Framework.Core,Base,Framework.Core.Base$$UnsubscribeFromSignal<object>,True
0x67078B8,8931,0x6707A70,8931,Merger.Game.Views.Inventory,InventoryItemsView,private void ClearInventory() { },True
0x6707A70,8931,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6707EA0,8931,0x662AC88,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public int get_NumSlots() { },True
0x6707EA0,8931,0x662B038,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public IMergeItem GetItem(int slotIndex) { },True
0x6707EA0,8931,0x662B0E8,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public string GetItemUUID(int slotIndex) { },True
0x6707EA0,8931,0x662B710,8288,Merger.Game.ViewModel,InventoryItemsViewModel,"public AssetReferenceT<Sprite> GetItemAsset(int slotIndex, InventorySlotType type) { }",True
0x6707EA0,8931,0x6707170,8930,Merger.Game.Views.Inventory,InventoryItemSlotView,public void add_TryRemove(Action<int> value) { },True
0x6707EA0,8931,0x67072D0,8930,Merger.Game.Views.Inventory,InventoryItemSlotView,"public void add_InfoRequested(Action<IMergeItem, string> value) { }",True
0x6707EA0,8931,0x67074A4,8930,Merger.Game.Views.Inventory,InventoryItemSlotView,public void set_Asset(AssetReferenceT<Sprite> value) { },True
0x6707EA0,8931,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6707EA0,8931,0x694BC78,11215,Framework.Core.MVVM.ViewModel,ViewModelBase,"public GameObject InstantiateInjected(GameObject original, Transform parent, bool worldPositionStays = False) { }",True
0x670810C,8931,0x662AC88,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public int get_NumSlots() { },True
0x670810C,8931,0x662AD2C,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public int get_NextSlotPrice() { },True
0x670810C,8931,0x662ADD0,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public int get_MaxSlots() { },True
0x670810C,8931,0x662AE74,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public PlayerResourceEnum get_SlotPurchaseResource() { },True
0x670810C,8931,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x670810C,8931,0x694BC78,11215,Framework.Core.MVVM.ViewModel,ViewModelBase,"public GameObject InstantiateInjected(GameObject original, Transform parent, bool worldPositionStays = False) { }",True
0x6708504,8931,0x662B198,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public IPromise TryBuyInventorySlot() { },True
0x67089F4,8931,0x662AC88,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public int get_NumSlots() { },True
