Caller	CallerRVA	CalleeRVA	Il2CppDumperCalleeName	CalleeSignature	PseudocodeFile
BoardData.GetBoardItemSetItems	19146A0	1914408	MergePuzzle.BoardItemDictionaryHandler$$get_Values	System_Collections_Generic_List_BoardItemSetData__o* MergePuzzle_BoardItemDictionaryHandler__get_Values (MergePuzzle_BoardItemDictionaryHandler_o* __this, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemSetItems	19146A0	2AFA9F0	System.Collections.Generic.List<object>$$.ctor	void System_Collections_Generic_List_object____ctor (System_Collections_Generic_List_object__o* __this, const MethodInfo_2AFA9F0* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemSetItems	19146A0	2AFB274	System.Collections.Generic.List<object>$$AddWithResize	void System_Collections_Generic_List_object___AddWithResize (System_Collections_Generic_List_object__o* __this, Il2CppObject* item, const MethodInfo_2AFB274* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemSetItems	19146A0	2AFBF88	System.Collections.Generic.List<object>$$GetEnumerator	System_Collections_Generic_List_Enumerator_T__o System_Collections_Generic_List_object___GetEnumerator (System_Collections_Generic_List_object__o* __this, const MethodInfo_2AFBF88* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemSet	1914AF4	1912730	MergePuzzle.ItemLinkScriptableData$$GetItemSet	MergePuzzle_ItemLinkScriptableData_ItemLinkScriptableSetData_o* MergePuzzle_ItemLinkScriptableData__GetItemSet (MergePuzzle_ItemLinkScriptableData_o* __this, int32_t setId, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemSet	1914AF4	1913588	MergePuzzle.BoardItemDictionaryHandler$$TryGetValue	bool MergePuzzle_BoardItemDictionaryHandler__TryGetValue (MergePuzzle_BoardItemDictionaryHandler_o* __this, int32_t setID, MergePuzzle_BoardItemSetData_o** setData, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemSet	1914AF4	1914D08	MergePuzzle.BoardItemDictionaryHandler$$TryGetValueFromBothGroups	bool MergePuzzle_BoardItemDictionaryHandler__TryGetValueFromBothGroups (MergePuzzle_BoardItemDictionaryHandler_o* __this, int32_t setID, MergePuzzle_BoardItemSetData_o** setDataRes, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemSetFallback	190B578	1913588	MergePuzzle.BoardItemDictionaryHandler$$TryGetValue	bool MergePuzzle_BoardItemDictionaryHandler__TryGetValue (MergePuzzle_BoardItemDictionaryHandler_o* __this, int32_t setID, MergePuzzle_BoardItemSetData_o** setData, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemSetFallback	190B578	1914D08	MergePuzzle.BoardItemDictionaryHandler$$TryGetValueFromBothGroups	bool MergePuzzle_BoardItemDictionaryHandler__TryGetValueFromBothGroups (MergePuzzle_BoardItemDictionaryHandler_o* __this, int32_t setID, MergePuzzle_BoardItemSetData_o** setDataRes, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoosterItemData	1914DD4	2E41FAC	System.Predicate<object>$$.ctor	void System_Predicate_object____ctor (System_Predicate_object__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_2E41FAC* method);	ghidra_data_pseudocode.c
BoardData.GetBoosterItemData	1914DD4	48B64DC	System.ThrowHelper$$ThrowArgumentNullException	void System_ThrowHelper__ThrowArgumentNullException (int32_t argument, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoosterItemData	1914EE0	2E41FAC	System.Predicate<object>$$.ctor	void System_Predicate_object____ctor (System_Predicate_object__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_2E41FAC* method);	ghidra_data_pseudocode.c
BoardData.GetBoosterItemData	1914EE0	48B64DC	System.ThrowHelper$$ThrowArgumentNullException	void System_ThrowHelper__ThrowArgumentNullException (int32_t argument, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetItemPrice	191508C	48C8A1C	System.ThrowHelper$$ThrowArgumentOutOfRange_IndexException	void System_ThrowHelper__ThrowArgumentOutOfRange_IndexException (const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetItemBubbleData	1915224	1915414	MergePuzzle.BoardData$$IsItemMaxLevel	bool MergePuzzle_BoardData__IsItemMaxLevel (MergePuzzle_BoardData_o* __this, int32_t setID, int32_t level, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetItemBubbleData	1915224	1BAAE8C	MergePuzzle.KiteModelBalanceConfig$$GetItemBubbleInformation	System_Tuple_int__int__o* MergePuzzle_KiteModelBalanceConfig__GetItemBubbleInformation (int32_t setId, int32_t level, MergePuzzle_BalanceBubbleConfigModel_BalanceBubbleItemModel_o** bubbleItem, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetItemBubbleData	1915224	31CD268	System.Tuple<int, int>$$.ctor	void System_Tuple_int__int____ctor (System_Tuple_int__int__o* __this, int32_t item1, int32_t item2, const MethodInfo_31CD268* method);	ghidra_data_pseudocode.c
