TypeDefIndex	Namespace	Type	Kind	Declaration	AssetRipperFile	ScopeReason	Il2CppDumperBlock	FieldCount	MethodCount
394		ItemCollectionElement.Delegates.TypeChanged	class	public sealed class ItemCollectionElement.Delegates.TypeChanged : MulticastDelegate // TypeDefIndex: 394	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00394_ItemCollectionElement.Delegates.TypeChanged.txt	0	4
395		ItemCollectionElement.Delegates.Claim	class	public sealed class ItemCollectionElement.Delegates.Claim : MulticastDelegate // TypeDefIndex: 395	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00395_ItemCollectionElement.Delegates.Claim.txt	0	4
396		ItemCollectionElement.Delegates	class	public class ItemCollectionElement.Delegates // TypeDefIndex: 396	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00396_ItemCollectionElement.Delegates.txt	0	1
397	Paxie.MergePuzzle.ItemCollections.Model	ItemCollectionElement	class	public class ItemCollectionElement // TypeDefIndex: 397	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00397_ItemCollectionElement.txt	7	21
401		ItemCollectionHandler.Delegates.Initialize	class	public sealed class ItemCollectionHandler.Delegates.Initialize : MulticastDelegate // TypeDefIndex: 401	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionHandler.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00401_ItemCollectionHandler.Delegates.Initialize.txt	0	4
402		ItemCollectionHandler.Delegates.UnLocked	class	public sealed class ItemCollectionHandler.Delegates.UnLocked : MulticastDelegate // TypeDefIndex: 402	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionHandler.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00402_ItemCollectionHandler.Delegates.UnLocked.txt	0	4
403		ItemCollectionHandler.Delegates	class	public class ItemCollectionHandler.Delegates // TypeDefIndex: 403	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionHandler.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00403_ItemCollectionHandler.Delegates.txt	0	1
404		ItemCollectionHandler.	class	private sealed class ItemCollectionHandler.<>c // TypeDefIndex: 404	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionHandler.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00404_ItemCollectionHandler..txt	2	3
405		ItemCollectionHandler.	class	private sealed class ItemCollectionHandler.<>c__DisplayClass105_0 // TypeDefIndex: 405	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionHandler.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00405_ItemCollectionHandler..txt	2	4
406		ItemCollectionHandler.	class	private sealed class ItemCollectionHandler.<>c__DisplayClass72_0 // TypeDefIndex: 406	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionHandler.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00406_ItemCollectionHandler..txt	1	2
407	Paxie.MergePuzzle.ItemCollections.Model	ItemCollectionHandler	class	public class ItemCollectionHandler : FeatureHandlerBase // TypeDefIndex: 407	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionHandler.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00407_ItemCollectionHandler.txt	13	79
409	Paxie.MergePuzzle.ItemCollections.Config	ItemCollectionConfig	class	public class ItemCollectionConfig : FeatureConfigBase // TypeDefIndex: 409	Paxie/MergePuzzle/ItemCollections/Config/ItemCollectionConfig.cs	物品集合配置类型	code/Il2CppDumper/type_blocks/00409_ItemCollectionConfig.txt	9	1
943	Paxie.MergeStudio.GameCore.Gameplay.Board	BoardItemTaskSupportChest	class	public class BoardItemTaskSupportChest : BoardItemData, IConfigAdaptor<TaskSupportChestAdaptor>, IConfigAdaptorBase // TypeDefIndex: 943	Paxie/MergeStudio/GameCore/Gameplay/Board/BoardItemTaskSupportChest.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00943_BoardItemTaskSupportChest.txt	0	10
944	Paxie.MergeStudio.GameCore.Gameplay.Board	ItemLevelChecker	class	public class ItemLevelChecker // TypeDefIndex: 944	Paxie/MergeStudio/GameCore/Gameplay/Board/ItemLevelChecker.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00944_ItemLevelChecker.txt	2	3
945	Paxie.MergeStudio.GameCore.Gameplay.Board	ItemSetLevelAvailability	class	public class ItemSetLevelAvailability // TypeDefIndex: 945	Paxie/MergeStudio/GameCore/Gameplay/Board/ItemSetLevelAvailability.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00945_ItemSetLevelAvailability.txt	3	7
946	Paxie.MergeStudio.GameCore.Gameplay.Board.BoardCore	IBoardData	interface	public interface IBoardData // TypeDefIndex: 946	Paxie/MergeStudio/GameCore/Gameplay/Board/BoardCore/IBoardData.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00946_IBoardData.txt	0	0
947		PerishableSpawnerEntity.	class	private sealed class PerishableSpawnerEntity.<>c__DisplayClass8_0 // TypeDefIndex: 947	Paxie/MergeStudio/GameCore/Gameplay/Board/Items/PerishableSpawnerEntity.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00947_PerishableSpawnerEntity..txt	3	3
948		PerishableSpawnerEntity.	class	private sealed class PerishableSpawnerEntity.<>c__DisplayClass9_0 // TypeDefIndex: 948	Paxie/MergeStudio/GameCore/Gameplay/Board/Items/PerishableSpawnerEntity.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00948_PerishableSpawnerEntity..txt	2	2
949	Paxie.MergeStudio.GameCore.Gameplay.Board.Items	PerishableSpawnerEntity	class	public class PerishableSpawnerEntity // TypeDefIndex: 949	Paxie/MergeStudio/GameCore/Gameplay/Board/Items/PerishableSpawnerEntity.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00949_PerishableSpawnerEntity.txt	7	4
950	Paxie.MergeStudio.GameCore.Gameplay.Board.Items	SpawnerSpawnedItem	class	public class SpawnerSpawnedItem // TypeDefIndex: 950	Paxie/MergeStudio/GameCore/Gameplay/Board/Items/SpawnerSpawnedItem.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00950_SpawnerSpawnedItem.txt	4	1
951	Paxie.MergeStudio.GameCore.Gameplay.Board.Items	SpawnerSpawnIndexedItemGroup	class	public class SpawnerSpawnIndexedItemGroup // TypeDefIndex: 951	Paxie/MergeStudio/GameCore/Gameplay/Board/Items/SpawnerSpawnIndexedItemGroup.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00951_SpawnerSpawnIndexedItemGroup.txt	2	1
952	Paxie.MergeStudio.GameCore.Gameplay.Board.Items	BoardItemRewardHolder	class	public class BoardItemRewardHolder : BoardItemData // TypeDefIndex: 952	Paxie/MergeStudio/GameCore/Gameplay/Board/Items/BoardItemRewardHolder.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00952_BoardItemRewardHolder.txt	0	7
953	Paxie.MergeStudio.GameCore.Gameplay.Board.Items	BoardItemStaticInteractable	class	public class BoardItemStaticInteractable : BoardItemNonSpawnable // TypeDefIndex: 953	Paxie/MergeStudio/GameCore/Gameplay/Board/Items/BoardItemStaticInteractable.cs	棋盘/物品直接依赖	code/Il2CppDumper/type_blocks/00953_BoardItemStaticInteractable.txt	0	10
966	Paxie.MergeStudio.Features.RecurringEvents.MiniBoardProgression	MiniBoardProgressionConfig	class	public class MiniBoardProgressionConfig : MiniBoardConfig<MiniBoardProgressionAddressable> // TypeDefIndex: 966	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionConfig.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00966_MiniBoardProgressionConfig.txt	0	3
968	Paxie.MergeStudio.Features.RecurringEvents.MiniBoardProgression	MiniBoardProgressionData	class	public class MiniBoardProgressionData : MiniBoardData // TypeDefIndex: 968	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionData.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00968_MiniBoardProgressionData.txt	0	1
969		MiniBoardProgressionEventData.	class	private sealed class MiniBoardProgressionEventData.<>c // TypeDefIndex: 969	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionEventData.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00969_MiniBoardProgressionEventData..txt	2	3
970	Paxie.MergeStudio.Features.RecurringEvents.MiniBoardProgression	MiniBoardProgressionEventData	class	public class MiniBoardProgressionEventData : MiniBoardEventData // TypeDefIndex: 970	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionEventData.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00970_MiniBoardProgressionEventData.txt	1	22
971		MiniBoardProgressionExtraEntity.	class	private sealed class MiniBoardProgressionExtraEntity.<>c__DisplayClass23_0 // TypeDefIndex: 971	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionExtraEntity.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00971_MiniBoardProgressionExtraEntity..txt	1	2
