type,signature,reason
FAT.MBBoardCloud,protected abstract void _PrepareGrid();,Il2CppDumper RVA = -1; no native address
FAT.IUserDataHolder,public abstract void SetData(LocalSaveData archive);,Il2CppDumper RVA = -1; no native address
FAT.IUserDataHolder,public abstract void FillData(LocalSaveData archive);,Il2CppDumper RVA = -1; no native address
FAT.IActivityOrderGenerator,"public abstract bool TryGeneratePassiveOrder(OrderRandomer cfg, IOrderHelper helper, MergeWorldTracer tracer, Func<OrderRandomer, OrderData> builder, out OrderData order);",Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract OrderState get_State();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_Id();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_OrderType();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_ProviderType();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_RoleId();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_UnlockLevel();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract IReadOnlyList<ItemCountInfo> get_Requires();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract IReadOnlyList<RewardConfig> get_Rewards();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract bool get_Displayed();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_Displayed(bool value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract bool get_IsNewOrder();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_IsNewOrder(bool value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_DffyStrategy();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_DffyStrategy(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int GetValue(OrderParamType paramKey);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract bool get_ShouldNotChange();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_ShouldNotChange(bool value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,"public abstract Func<IOrderData, bool> get_RemoteOrderResolver();",Il2CppDumper RVA = -1; no native address
FAT.IOrderData,"public abstract void set_RemoteOrderResolver(Func<IOrderData, bool> value);",Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_FallbackItemId();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_FallbackItemId(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,"public abstract ValueTuple<int, int> get_RewardDffyRange();",Il2CppDumper RVA = -1; no native address
FAT.IOrderData,"public abstract void set_RewardDffyRange(ValueTuple<int, int> value);",Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_MagicHourTimeLifeMilli();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_MagicHourTimeLifeMilli(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_MagicHourTimeDurationMilli();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_MagicHourTimeDurationMilli(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_BonusEventID();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_BonusEventID(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_BonusID();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_BonusID(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_BonusEndTime();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_BonusEndTime(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract int get_BonusPhase();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_BonusPhase(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract bool get_needBonusAnim();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_needBonusAnim(bool value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract bool get_HasScrollRequest();,Il2CppDumper RVA = -1; no native address
FAT.IOrderData,public abstract void set_HasScrollRequest(bool value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,public abstract OrderGroupProxy get_proxy();,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,public abstract void set_proxy(OrderGroupProxy value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,public abstract int GetBoardLevel();,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,public abstract bool IsOrderCompleted(int id);,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,public abstract long GetTotalFinished();,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,public abstract List<int> get_ImmediateSlotRequests();,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,"public abstract Dictionary<int, int> get_RequireItemStateCache();",Il2CppDumper RVA = -1; no native address
